index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery
116,2012,548323,18,Kolkata Knight Riders,4,0
117,2012,548323,19,Kings XI Punjab,11,1
118,2012,548323,19,Kolkata Knight Riders,6,1
119,2012,548324,0,Rajasthan Royals,2,0
120,2012,548324,0,Royal Challengers Bangalore,7,0
121,2012,548324,1,Rajasthan Royals,9,0
122,2012,548324,1,Royal Challengers Bangalore,4,0
123,2012,548324,2,Rajasthan Royals,0,0
124,2012,548324,2,Royal Challengers Bangalore,17,0
125,2012,548324,3,Rajasthan Royals,15,0
126,2012,548324,3,Royal Challengers Bangalore,10,0
127,2012,548324,4,Rajasthan Royals,8,0
128,2012,548324,4,Royal Challengers Bangalore,4,2
129,2012,548324,5,Rajasthan Royals,9,0
130,2012,548324,5,Royal Challengers Bangalore,12,0
131,2012,548324,6,Rajasthan Royals,4,0
132,2012,548324,6,Royal Challengers Bangalore,5,0
133,2012,548324,7,Rajasthan Royals,5,0
134,2012,548324,7,Royal Challengers Bangalore,4,0
135,2012,548324,8,Rajasthan Royals,5,0
136,2012,548324,8,Royal Challengers Bangalore,8,1
137,2012,548324,9,Rajasthan Royals,4,0
138,2012,548324,9,Royal Challengers Bangalore,5,0
139,2012,548324,10,Rajasthan Royals,5,1
140,2012,548324,10,Royal Challengers Bangalore,3,1
141,2012,548324,11,Rajasthan Royals,9,0
142,2012,548324,11,Royal Challengers Bangalore,3,0
143,2012,548324,12,Rajasthan Royals,7,0
144,2012,548324,12,Royal Challengers Bangalore,10,0
145,2012,548324,13,Rajasthan Royals,24,0
146,2012,548324,13,Royal Challengers Bangalore,9,0
147,2012,548324,14,Rajasthan Royals,7,0
148,2012,548324,14,Royal Challengers Bangalore,4,2
149,2012,548324,15,Rajasthan Royals,21,0
150,2012,548324,15,Royal Challengers Bangalore,3,1
151,2012,548324,16,Rajasthan Royals,24,0
152,2012,548324,16,Royal Challengers Bangalore,12,1
153,2012,548324,17,Rajasthan Royals,17,0
154,2012,548324,17,Royal Challengers Bangalore,1,1
155,2012,548324,18,Rajasthan Royals,9,1
156,2012,548324,18,Royal Challengers Bangalore,6,0
157,2012,548324,19,Rajasthan Royals,11,0
158,2012,548324,19,Royal Challengers Bangalore,9,1
159,2012,548325,0,Delhi Daredevils,8,0
