index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery,BowlingTeam
84,2012,548323,2,Kolkata Knight Riders,9,0,Kings XI Punjab
85,2012,548323,3,Kings XI Punjab,4,0,Kolkata Knight Riders
86,2012,548323,3,Kolkata Knight Riders,11,1,Kings XI Punjab
87,2012,548323,4,Kings XI Punjab,3,1,Kolkata Knight Riders
88,2012,548323,4,Kolkata Knight Riders,8,0,Kings XI Punjab
89,2012,548323,5,Kings XI Punjab,2,0,Kolkata Knight Riders
90,2012,548323,5,Kolkata Knight Riders,7,0,Kings XI Punjab
91,2012,548323,6,Kings XI Punjab,5,0,Kolkata Knight Riders
92,2012,548323,6,Kolkata Knight Riders,6,0,Kings XI Punjab
93,2012,548323,7,Kings XI Punjab,10,0,Kolkata Knight Riders
94,2012,548323,7,Kolkata Knight Riders,7,0,Kings XI Punjab
95,2012,548323,8,Kings XI Punjab,8,0,Kolkata Knight Riders
96,2012,548323,8,Kolkata Knight Riders,5,0,Kings XI Punjab
97,2012,548323,9,Kings XI Punjab,11,0,Kolkata Knight Riders
98,2012,548323,9,Kolkata Knight Riders,4,0,Kings XI Punjab
99,2012,548323,10,Kings XI Punjab,8,0,Kolkata Knight Riders
100,2012,548323,10,Kolkata Knight Riders,3,0,Kings XI Punjab
101,2012,548323,11,Kings XI Punjab,5,1,Kolkata Knight Riders
102,2012,548323,11,Kolkata Knight Riders,6,1,Kings XI Punjab
103,2012,548323,12,Kings XI Punjab,2,0,Kolkata Knight Riders
104,2012,548323,12,Kolkata Knight Riders,1,2,Kings XI Punjab
105,2012,548323,13,Kings XI Punjab,10,0,Kolkata Knight Riders
106,2012,548323,13,Kolkata Knight Riders,5,0,Kings XI Punjab
107,2012,548323,14,Kings XI Punjab,2,1,Kolkata Knight Riders
108,2012,548323,14,Kolkata Knight Riders,9,1,Kings XI Punjab
109,2012,548323,15,Kings XI Punjab,11,0,Kolkata Knight Riders
110,2012,548323,15,Kolkata Knight Riders,5,0,Kings XI Punjab
111,2012,548323,16,Kings XI Punjab,3,2,Kolkata Knight Riders
112,2012,548323,16,Kolkata Knight Riders,12,0,Kings XI Punjab
113,2012,548323,17,Kings XI Punjab,3,2,Kolkata Knight Riders
114,2012,548323,17,Kolkata Knight Riders,11,0,Kings XI Punjab
115,2012,548323,18,Kings XI Punjab,19,0,Kolkata Knight Riders
116,2012,548323,18,Kolkata Knight Riders,4,0,Kings XI Punjab
117,2012,548323,19,Kings XI Punjab,11,1,Kolkata Knight Riders
118,2012,548323,19,Kolkata Knight Riders,6,1,Kings XI Punjab
119,2012,548324,0,Rajasthan Royals,2,0,Royal Challengers Bangalore
120,2012,548324,0,Royal Challengers Bangalore,7,0,Rajasthan Royals
121,2012,548324,1,Rajasthan Royals,9,0,Royal Challengers Bangalore
122,2012,548324,1,Royal Challengers Bangalore,4,0,Rajasthan Royals
123,2012,548324,2,Rajasthan Royals,0,0,Royal Challengers Bangalore
124,2012,548324,2,Royal Challengers Bangalore,17,0,Rajasthan Royals
125,2012,548324,3,Rajasthan Royals,15,0,Royal Challengers Bangalore
126,2012,548324,3,Royal Challengers Bangalore,10,0,Rajasthan Royals
127,2012,548324,4,Rajasthan Royals,8,0,Royal Challengers Bangalore
128,2012,548324,4,Royal Challengers Bangalore,4,2,Rajasthan Royals
129,2012,548324,5,Rajasthan Royals,9,0,Royal Challengers Bangalore
130,2012,548324,5,Royal Challengers Bangalore,12,0,Rajasthan Royals
131,2012,548324,6,Rajasthan Royals,4,0,Royal Challengers Bangalore
132,2012,548324,6,Royal Challengers Bangalore,5,0,Rajasthan Royals
133,2012,548324,7,Rajasthan Royals,5,0,Royal Challengers Bangalore
134,2012,548324,7,Royal Challengers Bangalore,4,0,Rajasthan Royals
135,2012,548324,8,Rajasthan Royals,5,0,Royal Challengers Bangalore
136,2012,548324,8,Royal Challengers Bangalore,8,1,Rajasthan Royals
137,2012,548324,9,Rajasthan Royals,4,0,Royal Challengers Bangalore
138,2012,548324,9,Royal Challengers Bangalore,5,0,Rajasthan Royals
139,2012,548324,10,Rajasthan Royals,5,1,Royal Challengers Bangalore
140,2012,548324,10,Royal Challengers Bangalore,3,1,Rajasthan Royals
141,2012,548324,11,Rajasthan Royals,9,0,Royal Challengers Bangalore
142,2012,548324,11,Royal Challengers Bangalore,3,0,Rajasthan Royals
143,2012,548324,12,Rajasthan Royals,7,0,Royal Challengers Bangalore
144,2012,548324,12,Royal Challengers Bangalore,10,0,Rajasthan Royals
145,2012,548324,13,Rajasthan Royals,24,0,Royal Challengers Bangalore
146,2012,548324,13,Royal Challengers Bangalore,9,0,Rajasthan Royals
147,2012,548324,14,Rajasthan Royals,7,0,Royal Challengers Bangalore
148,2012,548324,14,Royal Challengers Bangalore,4,2,Rajasthan Royals
149,2012,548324,15,Rajasthan Royals,21,0,Royal Challengers Bangalore
150,2012,548324,15,Royal Challengers Bangalore,3,1,Rajasthan Royals
151,2012,548324,16,Rajasthan Royals,24,0,Royal Challengers Bangalore
152,2012,548324,16,Royal Challengers Bangalore,12,1,Rajasthan Royals
153,2012,548324,17,Rajasthan Royals,17,0,Royal Challengers Bangalore
154,2012,548324,17,Royal Challengers Bangalore,1,1,Rajasthan Royals
155,2012,548324,18,Rajasthan Royals,9,1,Royal Challengers Bangalore
156,2012,548324,18,Royal Challengers Bangalore,6,0,Rajasthan Royals
157,2012,548324,19,Rajasthan Royals,11,0,Royal Challengers Bangalore
158,2012,548324,19,Royal Challengers Bangalore,9,1,Rajasthan Royals
159,2012,548325,0,Delhi Daredevils,8,0,Mumbai Indians
160,2012,548325,0,Mumbai Indians,2,0,Delhi Daredevils
161,2012,548325,1,Delhi Daredevils,6,0,Mumbai Indians
162,2012,548325,1,Mumbai Indians,1,1,Delhi Daredevils
163,2012,548325,2,Delhi Daredevils,4,0,Mumbai Indians
164,2012,548325,2,Mumbai Indians,2,0,Delhi Daredevils
165,2012,548325,3,Delhi Daredevils,4,0,Mumbai Indians
166,2012,548325,3,Mumbai Indians,2,1,Delhi Daredevils
167,2012,548325,4,Delhi Daredevils,12,0,Mumbai Indians
168,2012,548325,4,Mumbai Indians,9,0,Delhi Daredevils
