Season,ID,overs,BattingTeam,total_run
2012,548324,9,Royal Challengers Bangalore,5
2012,548324,10,Rajasthan Royals,5
2012,548324,10,Royal Challengers Bangalore,3
2012,548324,11,Rajasthan Royals,9
2012,548324,11,Royal Challengers Bangalore,3
2012,548324,12,Rajasthan Royals,7
2012,548324,12,Royal Challengers Bangalore,10
2012,548324,13,Rajasthan Royals,24
2012,548324,13,Royal Challengers Bangalore,9
2012,548324,14,Rajasthan Royals,7
2012,548324,14,Royal Challengers Bangalore,4
2012,548324,15,Rajasthan Royals,21
2012,548324,15,Royal Challengers Bangalore,3
2012,548324,16,Rajasthan Royals,24
2012,548324,16,Royal Challengers Bangalore,12
2012,548324,17,Rajasthan Royals,17
2012,548324,17,Royal Challengers Bangalore,1
2012,548324,18,Rajasthan Royals,9
2012,548324,18,Royal Challengers Bangalore,6
2012,548324,19,Rajasthan Royals,11
2012,548324,19,Royal Challengers Bangalore,9
2012,548325,0,Delhi Daredevils,8
2012,548325,0,Mumbai Indians,2
2012,548325,1,Delhi Daredevils,6
2012,548325,1,Mumbai Indians,1
2012,548325,2,Delhi Daredevils,4
2012,548325,2,Mumbai Indians,2
2012,548325,3,Delhi Daredevils,4
2012,548325,3,Mumbai Indians,2
2012,548325,4,Delhi Daredevils,12
2012,548325,4,Mumbai Indians,9
2012,548325,5,Delhi Daredevils,7
2012,548325,5,Mumbai Indians,7
2012,548325,6,Delhi Daredevils,3
2012,548325,6,Mumbai Indians,7
2012,548325,7,Delhi Daredevils,8
2012,548325,7,Mumbai Indians,7
2012,548325,8,Delhi Daredevils,1
2012,548325,8,Mumbai Indians,3
2012,548325,9,Delhi Daredevils,5
2012,548325,9,Mumbai Indians,3
2012,548325,10,Delhi Daredevils,9
2012,548325,10,Mumbai Indians,2
2012,548325,11,Delhi Daredevils,7
2012,548325,11,Mumbai Indians,17
2012,548325,12,Delhi Daredevils,6
2012,548325,12,Mumbai Indians,7
2012,548325,13,Delhi Daredevils,7
2012,548325,13,Mumbai Indians,6
2012,548325,14,Delhi Daredevils,6
2012,548325,14,Mumbai Indians,4
2012,548325,15,Mumbai Indians,1
2012,548325,16,Mumbai Indians,3
2012,548325,17,Mumbai Indians,6
2012,548325,18,Mumbai Indians,3
2012,548325,19,Mumbai Indians,0
2012,548326,0,Deccan Chargers,9
2012,548326,0,Rajasthan Royals,5
2012,548326,1,Deccan Chargers,7
2012,548326,1,Rajasthan Royals,12
2012,548326,2,Deccan Chargers,10
2012,548326,2,Rajasthan Royals,8
2012,548326,3,Deccan Chargers,13
2012,548326,3,Rajasthan Royals,14
2012,548326,4,Deccan Chargers,10
2012,548326,4,Rajasthan Royals,11
2012,548326,5,Deccan Chargers,8
2012,548326,5,Rajasthan Royals,12
2012,548326,6,Deccan Chargers,6
2012,548326,6,Rajasthan Royals,8
2012,548326,7,Deccan Chargers,7
2012,548326,7,Rajasthan Royals,4
2012,548326,8,Deccan Chargers,7
2012,548326,8,Rajasthan Royals,4
2012,548326,9,Deccan Chargers,6
2012,548326,9,Rajasthan Royals,11
2012,548326,10,Deccan Chargers,13
2012,548326,10,Rajasthan Royals,12
2012,548326,11,Deccan Chargers,9
2012,548326,11,Rajasthan Royals,9
2012,548326,12,Deccan Chargers,3
2012,548326,12,Rajasthan Royals,9
2012,548326,13,Deccan Chargers,2
2012,548326,13,Rajasthan Royals,4
2012,548326,14,Deccan Chargers,9
2012,548326,14,Rajasthan Royals,11
2012,548326,15,Deccan Chargers,13
2012,548326,15,Rajasthan Royals,8
2012,548326,16,Deccan Chargers,11
2012,548326,16,Rajasthan Royals,17
2012,548326,17,Deccan Chargers,17
2012,548326,17,Rajasthan Royals,13
2012,548326,18,Deccan Chargers,18
2012,548326,18,Rajasthan Royals,14
2012,548326,19,Deccan Chargers,18
2012,548326,19,Rajasthan Royals,11
2012,548327,0,Pune Warriors,5
2012,548327,0,Royal Challengers Bangalore,3
2012,548327,1,Pune Warriors,13
2012,548327,1,Royal Challengers Bangalore,1
2012,548327,2,Pune Warriors,12
2012,548327,2,Royal Challengers Bangalore,13
2012,548327,3,Pune Warriors,7
2012,548327,3,Royal Challengers Bangalore,18
2012,548327,4,Pune Warriors,11
2012,548327,4,Royal Challengers Bangalore,5
2012,548327,5,Pune Warriors,10
2012,548327,5,Royal Challengers Bangalore,2
2012,548327,6,Pune Warriors,5
2012,548327,6,Royal Challengers Bangalore,5
2012,548327,7,Pune Warriors,11
2012,548327,7,Royal Challengers Bangalore,3
2012,548327,8,Pune Warriors,10
2012,548327,8,Royal Challengers Bangalore,6
2012,548327,9,Pune Warriors,12
2012,548327,9,Royal Challengers Bangalore,7
2012,548327,10,Pune Warriors,5
2012,548327,10,Royal Challengers Bangalore,5
2012,548327,11,Pune Warriors,11
2012,548327,11,Royal Challengers Bangalore,8
2012,548327,12,Pune Warriors,5
2012,548327,12,Royal Challengers Bangalore,31
2012,548327,13,Pune Warriors,12
2012,548327,13,Royal Challengers Bangalore,5
2012,548327,14,Pune Warriors,5
